"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
17,325,1,1,2,2,"Low"
286,55,3,4,3,8,"Medium"
13,2,1,1,91,2,"Low"
34,215,1,1,2,2,"Low"
395,85,2,1,3,2,"High"
44,41,4,1,4,3,"Low"
393,38,10,8,2,15,"High"
417,49,2,1,1,2,"High"
95,356,3,1,2,4,"Medium"
25,196,4,1,2,2,"Low"
119,181,1,1,2,2,"Medium"
387,1,6,2,30,3,"High"
361,203,3,1,1,2,"High"
30,175,2,2,3,4,"Low"
113,41,1,2,2,5,"Medium"
85,236,1,1,2,4,"Medium"
208,218,3,2,2,5,"Medium"
131,12,2,2,3,4,"Medium"
43,167,2,1,1,5,"Low"
165,21,10,3,4,5,"Medium"
63,54,2,2,2,5,"Low"
402,208,1,1,21,2,"High"
18,228,1,1,4,2,"Low"
377,180,2,1,1,2,"High"
88,9,1,2,4,4,"Medium"
412,139,1,1,2,3,"High"
113,174,1,2,1,4,"Medium"
228,88,3,2,4,5,"Medium"
378,57,2,1,2,2,"High"
3,153,2,1,2,2,"Low"
413,177,2,1,2,2,"High"
429,299,10,1,1,2,"High"
369,583,10,1,1,2,"High"
403,211,2,1,2,1,"High"
431,49,1,1,2,2,"High"
229,64,1,2,3,4,"Medium"
58,752,1,1,1,2,"Low"
420,233,1,1,3,4,"High"
58,149,2,1,3,4,"Low"
23,44,1,1,5,2,"Low"
352,155,1,5,2,11,"High"
271,51,3,3,3,6,"Medium"
417,168,5,2,30,4,"High"
329,345,3,1,1,2,"Medium"
58,82,1,2,28,5,"Low"
412,71,1,1,1,2,"High"
165,29,2,3,30,6,"Medium"
28,419,3,1,1,2,"Low"
383,1,1,1,7,1,"High"
420,150,1,1,2,4,"High"
159,9,1,2,7,5,"Medium"
373,17,1,1,2,4,"High"
417,34,1,1,1,3,"High"
351,13,1,1,30,2,"High"
412,157,3,1,3,2,"High"
430,494,1,2,1,4,"High"
364,64,2,1,30,2,"High"
211,103,1,2,2,4,"Medium"
63,298,1,2,1,5,"Low"
